"text","label","split"
"看到那男的照片一瞬间我真实的头皮发麻","0","train"
"互相把平权思想当皮球踢，是什么促进交流的当代国际化体育运动么","0","train"
"看吧 这就是男方粉丝的智商 没有证据还只会造谣,笑素了 我话不想说难听 你有这时间去把你德普路人缘和票房拯救回来吧,继续编 你老头子太无辜惹 真素绝世好男人呢,笑死 男方律师自己写的证实你给我说是法律判定 ？ 隔这样陈羽凡也自个律师写个证实没有吸毒 直接给判无罪了就？,我要笑吐 你拿depp律师自己写的陈诉文件说是amber 当庭承认家暴？还有最后的判决是和解 那里写的承认诬蔑？以后别人都上不了外网看不懂英文呢 笑素","1","train"
"看了你微博，原来那些推奍的是这样的，以后可以自己找了，用金不用再给别人了","0","train"
"不管受害者性别为何，施暴者男女比例是怎样的，其中对女性施暴的男女比例又是多少？这个社会总的来说到底哪种性别犯罪率更高？","0","train"
"我好害怕哦<username> <username> <username>","0","train"
"酸兔的也是搞笑  没看小编最后一句吗 这个媒体和jyp关系不好啊","0","train"
"你开辆车去接人家？跟自己键盘这么亲密就一辈子都别分开","0","train"
"武破在子女宫哎，对宫天相，会不会和子女不和什么的？没有煞","0","train"
"是的，并且他们坚决一厢情愿认为女性跟他们一样是在“讨价还价”，曾在评论里看到他们用一个词“拥批起价”和类似说法，呕吐了","1","train"
"我是女生，我觉得确实有部分女生“只想要特权却不愿承担责任义务”，打着女权主义的旗号，想要争取比男性更高的权利。男女平等才是女权的真正含义。而不是男生必须买房买车，出门哪有女生花钱（类似这样的）","1","train"
"我认识3个不婚男，反婚男，一般三个月到半年换个女朋友。生活乐无边。","1","train"
"像娱乐化那条微博，我更确信了我们真实的愤慨真实的悲伤都在被整个猎奇的网络世界当笑话看。,这个世界上真的有人把同类实实在在的骨血当笑话看，鲁迅笔下的那个世界一点都没有消退。,极端女权好吃在哪呢，她们虽然坚决反对被男权吃（而且有时候还防不住），但只要是个女的不管她脑子里男权思想占多少都能轻松吃到。,这次事件别的我都无所谓了，就“不要比烂”这个反应格外戳我心","1","train"
"仍在世导演中唯独偏爱哈内克，“独善其身，格外清醒”。这个游行让我想起了五四运动，愚昧本性不无二致","0","train"
"杠层主的人我建议语文课好好听讲学一下阅读理解，重点在没去看海王吗？重点在女主好吗。","0","train"
"照此诉诉要求，此案中大强子是死虾子了，但成功者向来不拘小节，多条花边八卦而已","0","train"
"女屌丝就没有努力吗？女屌丝的努力不配被看见吗？冷抖哭","1","train"
"美丽的女孩！请不要再牵挂我了！我们都应该有更美好的未来，不应该一直惦记那颗旧日的红豆，现在车马快，一生可以爱无数人！","0","train"
"说实话，我根本不觉得这算什么事，我可以预想，将来我被某个女性伤害过深，可能有一段时间我也会说出一些讨厌女性的极端的话来发泄，难道这就是男权。而且现在的成果本人完全没有所谓的“女权”倾向，爱五剧组中那么多男性，她有说很讨厌谁了吗，所以你的某些评论纯属是在无中生有。","0","train"
"她说要包养男人，我们帮她算算包养成本","0","train"
"代孕合法了，她们亲亲老公拿她们赚钱都有可能","1","train"
"我厌驴，一堆赔钱货，赔了家庭资源、赔了先辈女性付出的心血、赔了女性整体的长期利益 不过用“厌驴”来证明“不厌女”我不是很赞同，我自己心理也还存在被洗脑出的潜意识厌女。证明“不厌女”的只有爱女。","1","train"
"你自己信么？我在这条微博说的。肯定就是女司机这方面啊。你非要钻牛角尖？你这样并说明不了什么。。。我是理工男，讲究严谨，最近工作也每天和数据打交道。所以。？,我是说关于女司机这个问题。。。。我前面说了，数据肯定是科学的。","0","train"
"我就是农大的， 第一，别以偏概全，有人会难受的。 第二，哪个学校没几个渣渣。 第三，那规定确实挺操蛋的。 第四，我想知道举报的那家伙是怎么个奇葩。 第五，你这样说话会让人不舒服的……","0","train"
"出轨并不能认定过错，不能法律强行“净身出户”或给受害一方大笔赔偿，突然想到婚内出轨难道不是男性较多吗，那不还是女的在吃亏吗？！被出轨了想离婚还不能合法得到绝大多数财产？！","1","train"
"你说的这样的女人可不是女权，一点都不尊重女性","0","train"
"我觉得是否可以按自己的意志做出选择，你我都没什么太大的发言权，我们不了解日本模特行业到底是怎样，我们也没有身临其境过，我的猜测和你的言之凿凿一样都是不准确的，不能做为取信的依据。我没有把所有问题都归结于被迫，但是我觉得你或许对被迫的理解只停留在勒令 威胁，你没有考虑过环境的施压等,当时情形怎么样，有没有可能拒绝，我认为众人的哄诱劝说安抚会抑制拒绝的真正发生。我认为一是由于恐惧她没有拒绝，二是由于当时所处的环境让她觉得不应该拒绝。你或许不明白我说的，举个例子，有人让我拍裸照我想拒绝但是他说这是艺术，这无关我个人的身体，要的是通过身体表现出的某种意志，从而洗脑,我只是想表达往往在那种情况下人是恐惧的。你大概没有试过全身赤裸时被人观看吧。为什么不拒绝？永远不要这么问一个受害者。说不 需要勇气，任何时候都是。我觉得我的经历和她有相似之处，因为首先我们都是女性，都在我们赤裸状态下受到不怀好意的目光侵犯。所以我认为我了解一个女人赤裸时会被胁迫,你这么说真的很恶毒！我不说别人的事就说我自己，我小学五年级被亲戚骚扰过，我到现在才敢告诉我身边的人！心里总是存着一丝侥幸觉得大概他本意不是要怎样怎样，一直不敢去正视那些让人在深夜里抓着头发尖叫的事实。我恨那个人也恨当时自己因为教养因为懵懂没能阻止他狠狠教训他，你根本不懂","0","train"
"0220年了钟国大多数人还不能自由决定加班与否，不会真的有脑瘫觉得被潜规则的女明星全是自愿的吧？怎么了还羡慕死了觉得这是捷径，对有些女人来说如果不愿意走这种所谓捷径，因为不愿意变成性资源得罪了人，根本就没有第二条路，没有出头之日，男人有的选项他们不一定有，花两毛钱动脑子想一想很难吗？,电视上的plmm都是女菩萨","1","train"
"被婚内强奸啊 在国内不算罪的 结婚代表放弃自己性权利","1","train"
"其实真的这个社会对女性的束缚远不如女性自己给自己的束缚","1","train"
"哇，主播真的被气到了…这种女性才是真正珍惜这次运动的，而且十分珍视其所带来的成果。","0","train"
"这种人装什么女权斗士，三观都不正，真恶臭，玷污女权名声","1","train"
"一个女人去陪人家喝酒，跟人家上车，带人回自己住处，有机会不跑路，不让朋友报警，你告诉我这是强奸还是自己倒贴？我没说刘强东是好东西，但是这女的是不是有点太不自重了？","1","train"
"你非要杠，那随你，你愿意争取合法权益的路上伤及无辜随你行吧，你爱怎么样怎么样，反正只要有不对你胃口的就是坏，不想跟你这种不讲理的人掰扯,你这是偷换概念，我的核心意义是女性争取合法权益毫无问题，但是在争取合法权益的过程中不能让无辜的人受到迫害。例如德普这件事。从以前的男权至上到女权至上，无非是角色互换罢了，歧视依旧没有改变，要消除的是歧视，而不是男性。","0","train"
"她们有病，却还想把这种有病变成常态","1","train"
"别说没用的，要是那样的话，最后应该艾夫杰尼和pgong他俩比，他俩第一场都不太好，规则是观众投票，第二轮确实pgong好一点，就是这样了","0","train"
"早年读《红楼梦》都是囫囵吞枣粗枝大叶，里面的玄机奥妙浑然不知，幸有先生为我们指点迷津，才得妙趣………，感谢先生～～","0","train"
"不想做男人的新娘也不想做老娘的我，真想变弯","0","train"
"前女领导厌女，全中，辞职时候真没法跟上级反应。感觉都没人信。","0","train"
"知名案例:占领血小板吧装动漫粉丝引导血友病病友攻击二次元，严重干扰病人间的正常交流","0","train"
"我就算有真爱也不结婚，结婚了我的财产就变夫妻共同财产了，而且我是真的很讨厌孩子，如果有男的愿意结扎，做婚前财产公证，或许我脑海里会有结婚的念头的，不是杠嗷。","1","train"
"女权好多披皮反串黑在带节奏搞事情","1","train"
"我好喜欢她 感觉每次我有点难受的时候看到她的发言都觉得有力量很多","0","train"
"追求平权之一不就是可选择权平等么？可她们言论之中却无处不在拉踩无辜群体，可恶扩大个人仇恨，让人很是气愤","1","train"
"跟你们中国男人学的，其人之道还治其人之身。麻烦中国男人大度宽容，别这么敏感小气。,你没骂过又如何？中国男人骂了几十年了，你你想做理中客？麻烦去找始作俑者。中国男人什么时候反省道歉弥补了再说。,现在知道以偏概全了？你们骂女司机时候呢？你们骂女人啥啥时候呢？咋不知道？现在出来装几把了，恶心。,看看，中国男人就这德性，放着截图他看不到呢。中国男人，呵呵，中国男人，驰名装瞎，驰名双标。","1","train"
"明显田园狗做法。哈哈哈。这婚结的都不如去找鸡","1","train"
"我追星我不厌女！我爱美女们！也爱帅哥！","0","train"
"为了吐槽我睡的迟但又为了对我的原博表示尊敬特意在前面加上“好像说的有点道理”","0","train"
"那…大概，是既要赚女人的钱，又不打算尊重女性。(…好过分。,好像思路是，比如cherry中国官博怼女权。经过时间推移，我们记忆逐渐模糊，最后可能只会遗留cherry中国这个东西我有听过，然后买东西的时候会下意识购买自己有所耳闻的产品。(我不敢说自己不会慢慢淡忘，但是确实起码此时此刻，我对cherry中国这个东西是憎恶的，我不觉得自己以后会购买它家任何产品,…。我也很迷茫，就好像它在用攻击女拳，向男性消费者展示认同/同仇敌忾的感觉。值得吗？这样的负面流量，真的可以带来收益吗？？。以及没想到女性作为消费者，也是这样可以被轻视和怠慢。。我从豹生气到无法理解这波操作，有毒。","1","train"
"恶心的返祖思潮，非得搞得好像多先进似的","1","train"
"程序之后必然是实体判决，谁有资格来判决？联邦、州九人法庭？“不是因为我的判决是正确的所以它才是终局的，恰恰相反，我的判决之所以是正确的，是因为它享有终局性。”天老大你老二？谁享有终局性？造人的上帝和孕妇。,对强者限权例如是因为可能的长期伤害性质，彻底禁锢某阶段的权力？可贵？如果这个短禁的后果是一个常伴18年以下的活生生的生命，不排除很多因养育而生情，相看两不厌，但，两相厌、两相仇，谁在买单？有补偿吗？问天天不灵。","0","train"
"男要出轨，娘要嫁人。你拉得回来？给他装上跟踪器？","1","train"
"这个好像看国家。总体来说女权应该是反对代孕的。","0","train"
"就算是没有女性存在的男同性恋爱情里也少不了性别议题，爱情和性别议题不能脱离，有问题吗","0","train"
"我有限的田野经历告诉我，田野过程中面临的风险是多么不可控，而我到目前的所有人生经历告诉我女性又是多么脆弱，这种不可控的风险甚至会影响到周围人的判断和选择取向，比如男性导师可能更倾向于带男性学生外出调查和实践，只能心里表示理解然后一笑而过，唯一的出路就是自己更努力","0","train"
"每次家暴处理课我都觉得，这么多人在做这些事情，会更好的","0","train"
"nhjj戏多不是一天两天  嫉妒就直说吧 键盘侠们","0","train"
"女人为什么一定要有男人接受？要有男人爱呢？","0","train"
"果然是这种事很难界定 有时候就是双方谈崩了 其中的一方就跳出来了","0","train"
"永远该痛恨的是这个男权的社会结构，而不是女性。","1","train"
"理性对待是要正确的看待社会现象，用合法有效的途径来解决问题。而不是在网络中利用言论来激化男女之间的矛盾。,首先你的说法过于绝对了。冷眼旁观男人天天砍女人，如果在你的身边天天都出现这种情况，你次次都是目击者肯定是可以寻求警方帮助的，你自己也不一定可以亲身上去反抗，这毕竟设计生命安全。其次大家都是生活在这个社会中的，我是真的没有遇到你说的天天砍。","0","train"
"你可以去挣钱孩子男人可以看。去吧！,可以呀。男女平等。你可以去挣钱养家男性看孩子。男女不是追求平等么。超过平等就是女权。在混乱外国你去追求女权试试。饿你三天就老实了。","1","train"
"没有不争取男性补偿阿。现在问题是补偿未落地之前如何处理？","0","train"
"唉～就是社会发展太快了～全体人民素质跟不上…极端主义出现…还以为自己掌握了真理🙈🙈","0","train"
"不再演戏那你吃啥？靠metoo的基金养活吗？这就偏离初衷了吧，metoo不是整风运动吗？怎么变成了抵制运动？","0","train"
"昨天和我一男性朋友聊天扯到重男轻女的话题了，他就说了类似的话","0","train"
