MaleLabel,text,FemaleLabel,text,LabelComparison
1,抓虫大战，人人有责,0,抓虫大战，人人有责,Different
0,😅笑死，能给我瑞典绿卡吗,1,😅笑死，能给我瑞典绿卡吗,Different
1,不一定……因为很多人会爱屋及乌，讨厌也同理。 比如说提起台湾你能想到周杰伦，偶像剧。提河南99%是井盖儿。。。,0,不一定……因为很多人会爱屋及乌，讨厌也同理。 比如说提起台湾你能想到周杰伦，偶像剧。提河南99%是井盖儿。。。,Different
1,不能呼吸是对的,0,不能呼吸是对的,Different
1,依然有歧视。我是河北的，2019年去北京当保安挣学费，人家说：你是河南人？（我家是河北南部邢台的，所以说话接近河南口音）我说不是，但是有什么关系呢。公司人事对我说：早些年只要是河南的，都不要。我年龄也不大，我估计就是早期带头黑河南的，然后慢慢形成固有认知了，其实都是空穴来风。,0,依然有歧视。我是河北的，2019年去北京当保安挣学费，人家说：你是河南人？（我家是河北南部邢台的，所以说话接近河南口音）我说不是，但是有什么关系呢。公司人事对我说：早些年只要是河南的，都不要。我年龄也不大，我估计就是早期带头黑河南的，然后慢慢形成固有认知了，其实都是空穴来风。,Different
0,身边一堆找过外国的什么成分很明显了,1,身边一堆找过外国的什么成分很明显了,Different
0,支持正义剥削😆,1,支持正义剥削😆,Different
1,说的很对。但是吃屎的也不能要吃尿的强行认同吧！,0,说的很对。但是吃屎的也不能要吃尿的强行认同吧！,Different
0,经常听男的回家跪搓衣板，就说“正常啊，这不挺正常的吗？”，没听说过女的跪，如果跪搓衣板了，就“这是在家暴啊”，以前古代任意朝代都没有这样的哦,1,经常听男的回家跪搓衣板，就说“正常啊，这不挺正常的吗？”，没听说过女的跪，如果跪搓衣板了，就“这是在家暴啊”，以前古代任意朝代都没有这样的哦,Different
0,生下来做个鉴定就好了，不怕一万，就怕万一。怕的就是乌龙做了坏人,1,生下来做个鉴定就好了，不怕一万，就怕万一。怕的就是乌龙做了坏人,Different
1,不想跟女人结婚的兄弟可以快乐的一起生活，互助。米格道不婚兄弟互助群,0,不想跟女人结婚的兄弟可以快乐的一起生活，互助。米格道不婚兄弟互助群,Different
0,中国男人在哪里都吃香吗？你骗我吧。,1,中国男人在哪里都吃香吗？你骗我吧。,Different
0,说的好，建议直接打砸抢,1,说的好，建议直接打砸抢,Different
1,你看你一讲这个，上面立马有个上海人讲自己见过河南人不好的经历了🤣，所以，这种话就不该说，说出来就是咱们被倒打一耙,0,你看你一讲这个，上面立马有个上海人讲自己见过河南人不好的经历了🤣，所以，这种话就不该说，说出来就是咱们被倒打一耙,Different
